Selected,Customer ID,Customer Name,Customer Class,Country,City,Currency ID,Terms,Customer Status,Sage Code,Customer Group,Category,Customer Region,Parent Code,Price Class ID,Price Class Name,Main A/CC Owner,Route Code,Route Name,Credit Limit,Rep Code,Sales Rep,Zone ID,Customer Zone,Address Line 1,Address Line 2,Address Line 3,Shipping Rule,Email,Statement Type,Business Account ID,Tax Registration ID,Statement cycle,Delivery
False,CUST100020,African Agriculture Technology Foundation,KPNGO,KE,,KES,30DS,Active,24370,Kim-Fay Professional,,Nairobi West,,AFRICANAGR,African Agriculture Technology,,1B,Waiyaki Way,"300,000.00",P505,Shirleen Chebet,Z001,Westlands,P.O. Box 30709 -,Within Ilri Compound,,Back Order Allowed,f.nyaga@aatf-africa.org,Open Item,,P051197725E,MONTHLY,
False,CUST100021,African Developement Bank Group,KPBANK,KE,,KES,30DS,Active,25228,Kim-Fay Professional,,Nairobi West,,KPBASE,KP Base price,,3O,Upper Hill,"400,000.00",P104,Irene Luketelo,Z003,Ngong,,Longonot Road Upper Hill,,Back Order Allowed,h.kiplagat@afdb.org,Open Item,,P051100646J,MONTHLY,
False,CUST100022,African Economic Research Consortium,KPGOVT,KE,,KES,30DS,Active,3519,Kim-Fay Professional,,Nairobi West,,KPBASE,KP Base price,,3N,Milimani,"100,000.00",YVON,Yvonne Achieng,Z003,Ngong,"P.O. Box 62882-00200,",Mebank Towers 3Rd Floor,,Back Order Allowed,mmwangi@aercafrica.org,Open Item,,,MONTHLY,
False,CUST100023,African Forest Lodges Ltd,KPHOTEL,KE,,KES,30D,Active,24528,Kim-Fay Professional,,Nairobi West,,AFRICANFOR,African Forest Lodges ltd,,7A,Naivasha,"100,000.00",P504,Diana Wendy,Z007,Western A,P.O Box 76307 - 00508,The Forest,,Back Order Allowed,njengaeric1@gmail.com,Open Item,,P051417675Q,MONTHLY,
False,CUST100024,African Fund For Endagered Wildlife Afew,KPPMGR,KE,,KES,30DS,Active,3492,Kim-Fay Professional,,Nairobi West,,AFRICANFUN,African Fund for Endangered,,3B,Karen,"500,000.00",P096,Doreen Mugwika,Z003,Ngong,P.O. Box 15124 - 00509,Giraffe Centre,,Back Order Allowed,solomon@giraffecentre.org,Open Item,,P000611840H,MONTHLY,
False,CUST100025,African Medical & Research Foundation -Country Off,KPHEALTH,KE,,KES,30DS,On Hold,23660,Kim-Fay Professional,,Nairobi West,CUST100067,KPBASE,KP Base price,Maximillian Otieno,3R,Langata Road,0.00,P104,Irene Luketelo,Z003,Ngong,P.O.Box 30125-00100,"Along Langata Road, Wilson Airport",,Back Order Allowed,info.kenya@Amref.org,Open Item,,P051092247U,MONTHLY,
False,CUST100026,African Population & Health Research Centre,KPNGO,KE,,KES,30DS,Active,23844,Kim-Fay Professional,,Nairobi West,,AFRICANPOP,African Population & Health,,1C,Lower Kabete,"600,000.00",P096,Doreen Mugwika,Z001,Westlands,P.O.Box 10787-00100,"Manga Close, Off Kirwa Road",,Back Order Allowed,guest234@aphrc.org,Open Item,,P051139812V,MONTHLY,
False,CUST100028,African Tulip Ltd C/O Knight Frank,KPPMGR,KE,,KES,60DS,Active,24613,Kim-Fay Professional,,Nairobi West,,KNIGHTFRAN,Knight Frank Services Ltd 3682,,1B,Waiyaki Way,"750,000.00",P104,Irene Luketelo,Z001,Westlands,,Westlands Rivaan Centre,,Back Order Allowed,Sophie.Muoni@ke.knightfrank.com,Open Item,,P051439827O,MONTHLY,
False,CUST100029,Africare Ltd,KPHEALTH,KE,,KES,60DS,Active,24327,Kim-Fay Professional,,Nairobi West,,KPBASE,KP Base price,,3O,Upper Hill,"500,000.00",P505,Shirleen Chebet,Z003,Ngong,"03 Kiambere Road, Upper Hill",,,Back Order Allowed,procurement@africare.co,Open Item,,P051338000R,MONTHLY,
False,CUST100030,Afri-Trail Ventures Ltd,KPDIST,KE,,KES,30D,Active,24808,Kim-Fay Professional,,Nairobi Central,,KPDISTRIB,KP Distributors,,2A,CBD,1.00,C967,Berna Piwang,Z002,CBD,"P.O.BOX 5387-00100 NAIROBI, KENYA","View Park Towers, 18Th Floor",,Back Order Allowed,afritrail@gmail.com,Open Item,,P051232721N,MONTHLY,
False,CUST100031,After 40 Hotel,KPHOTEL,KE,,KES,30D,Active,24455,Kim-Fay Professional,,Nairobi Central,,KPBASE,KP Base price,,2A,CBD,"160,000.00",P505,Shirleen Chebet,Z002,CBD,P.O Box 16982 - 00620,Biashara Street,,Back Order Allowed,procurement@after4hotel.com,Open Item,,P051592254H,MONTHLY,
False,CUST100032,Aga Khan Academy Mombasa,KPEDU,KE,,KES,30DS,Active,24005,Kim-Fay Professional,,Coast,,AGAKHANACA,AGA Khan Academy,,12A,Mombasa,0.00,P022,Lucy Rimberia,Z012,Coast,P.O.Box 90066-80100,Vanga Rd Mombasa,,Back Order Allowed,sameer.hanif@agakhanacademies.org; vincent.kwendo@oshwalacademy.sc.ke,Open Item,,P000598585S,MONTHLY,
False,CUST100033,Aga Khan Academy Senior School Nairobi,KPEDU,KE,,KES,30DS,Active,24566,Kim-Fay Professional,,Nairobi West,,AGAKHANACA,AGA Khan Academy,,1F,Parklands,"600,000.00",P504,Diana Wendy,Z001,Westlands,P O Box 44424 00100,1St Parklands Avenue,,Back Order Allowed,sismail@akesk.org,Open Item,,P000598585S,MONTHLY,
False,CUST100034,Aga Khan Development Network - Kenya,KPHEALTH,KE,,KES,30D,Active,23746,Kim-Fay Professional,,Nairobi Central,,AGAKHANDEV,Aga Khan Development Network,,2A,CBD,"40,000.00",P193,June Chesire,Z002,CBD,P.O.Box 48508-00100,"4Th Floor, Ips Building",,Back Order Allowed,gulzar.suleman@akdnkenya.org,Open Item,,P051123365T,MONTHLY,
False,CUST100035,Aga Khan Health Service Kenya,KPHEALTH,KE,,KES,60DS,Active,1135,Kim-Fay Professional,,Nairobi West,,AGAKHANHEA,Aga Khan Health Service Kenya,,1F,Parklands,0.00,P193,June Chesire,Z001,Westlands,P.O.BOX 30270,Aga Khan Hospital Building,,Back Order Allowed,anne.nyambura@aku.edu,Open Item,,P000598593S,MONTHLY,
False,CUST100036,Aga Khan Hospital - Kisumu,KPHEALTH,KE,,KES,30DS,Active,3497,Kim-Fay Professional,,West Nyanza,,AGAKHANHEA,Aga Khan Health Service Kenya,,7F,Kisumu,"200,000.00",P489,John Kaguai,Z007,Western A,,,,Back Order Allowed,,Open Item,,P000598593S,MONTHLY,
False,CUST100037,Aga Khan Hospital (Mombasa),KPHEALTH,KE,,KES,60DS,Active,3495,Kim-Fay Professional,,Coast,,AGAKHANMSA,Aga khan msa,,12A,Mombasa,"2,000,000.00",P022,Lucy Rimberia,Z012,Coast,"P.O.BOX 30270,",Vanga Rd Mombasa,,Back Order Allowed,alfred.njumwa@akhskenya.org,Open Item,,P000598593S,MONTHLY,
False,CUST100038,Aga Khan Sports Centre,KPEDU,KE,,KES,30DS,Active,24427,Kim-Fay Professional,,Nairobi West,,KPBASE,KP Base price,,1F,Parklands,"40,000.00",P504,Diana Wendy,Z001,Westlands,P.O. Box 10843 - 00400,5Th Parklands Avenue,,Back Order Allowed,info@aksc.co.ke,Open Item,,P000603603G,MONTHLY,
False,CUST100039,Agility Green Energy Solutions Ltd,KPINDUSTRY,KE,,KES,30D,Active,25152,Kim-Fay Professional,,Nairobi Central,,KPBASE,KP Base price,,2A,CBD,1.00,P505,Shirleen Chebet,Z002,CBD,P.O Box 47136 - 00100,"Matumbo House, Kweria Lane Off Kirinyaga Road",,Back Order Allowed,agilityenergysolutions@gmail.com,Open Item,,P051456398W,MONTHLY,
False,CUST100040,AGRA,KPNGO,KE,,KES,30DS,Active,23824,Kim-Fay Professional,,Nairobi West,,AGRA,Agra,,1D,Westlands,"750,000.00",C1262,Mercyline Kemunto,Z001,Westlands,P.O.Box 66773-00800,West End Towers,,Back Order Allowed,sgaitho@agra.org,Open Item,,P051197834G,MONTHLY,
False,CUST100041,Agriculture & Climate Risk Enterprise,KPNGO,KE,,KES,30D,Active,24122,Kim-Fay Professional,,Nairobi West,,KPBASE,KP Base price,,1C,Lower Kabete,"50,000.00",P505,Shirleen Chebet,Z001,Westlands,P.O. Box 45277 - 00100,Springette Properties,,Back Order Allowed,rriungu@acreafrica.com,Open Item,,P051457417D,MONTHLY,
False,CUST100042,Agro Manufacturing Ltd,KPSERVICE,KE,,KES,30D,Active,23571,Kim-Fay Professional,,Nairobi East,,KPBASE,KP Base price,,,,0.00,P505,Shirleen Chebet,Z005,Mombasa Road,,Off Likoni Road,,Cancel Remainder,agroeunice@gmail.com,Open Item,,P000603852T,MONTHLY,
False,CUST100043,AHN Kenya Limited,KPHEALTH,KE,Nairobi,KES,30D,Active,25120,Kim-Fay Professional,,Nairobi West,,AHN,AHN,,5P,Mombasa Road,3.00,YVON,Yvonne Achieng,Z005,Mombasa Road,"Fortis Industrial Park, Godown No.9",Chady Rd off Syokimau Airport rd,,Back Order Allowed,donie@africahealthcarenetwork.com,Open Item,,,MONTHLY,
False,CUST100044,AIC  Kijabe Hospital,KPHEALTH,KE,,KES,60DS,Active,25172,Kim-Fay Professional,,South Rift,,AICKIJABEH,AIC KIJABE HOSPITAL,,2B,Kijabe,0.00,P193,June Chesire,Z002,CBD,P.O 20 - 00220,Limuru,,Back Order Allowed,smunene@kijabehospital.org,Open Item,,P051094077E,MONTHLY,
False,CUST100045,AIG Kenya Insurance Company Ltd,KPBANK,KE,,KES,30DS,Active,3547,Kim-Fay Professional,,Nairobi West,,KPBASE,KP Base price,,1D,Westlands,"35,000.00",P505,Shirleen Chebet,Z001,Westlands,"P.O.BOX 49480,",,,Back Order Allowed,gillian.kibugi@aig.com,Open Item,,P051163225M,MONTHLY,
False,CUST100046,Airkenya Express Ltd,KPAIRLINE,KE,,KES,30DS,Active,24646,Kim-Fay Professional,,Nairobi East,,AIRKENYAEX,Airkenya Express ltd,,3H,Wilson Airport,"360,000.00",C1262,Mercyline Kemunto,Z003,Ngong,P.O Box 30357 - 00100,Wilson Airport,,Back Order Allowed,judith.mwaka@airkenya.com,Open Item,,P051179948P,MONTHLY,
False,CUST100047,Airmarc Ltd T/A Fourpoints By Sheraton,KPHOTEL,KE,,KES,60DS,Active,24659,Kim-Fay Professional,,Nairobi East,,AIRMACLTDT,Airmac ltd T/A Four points,,5D,JKIA,"1,500,000.00",C967,Berna Piwang,Z005,Mombasa Road,P.O Box 1158 - 00606,Four Points By Sheraton,,Back Order Allowed,finance@fourpointsnairobiairport.co.ke,Open Item,,P051450422N,MONTHLY,
False,CUST100048,Airport Landing Hotel,KPHOTEL,KE,,KES,30D,Active,24704,Kim-Fay Professional,,Nairobi East,,AIRPORTLAN,Airport Landing hotel,,5C,Embakasi,2.00,P096,Doreen Mugwika,Z005,Mombasa Road,,North Airport Road,,Back Order Allowed,accounts@airportlandinghotel.com,Open Item,,P051575854T,MONTHLY,
False,CUST100049,Airport Trade Centre.C/O Visionary Realtors Ltd,KPPMGR,KE,,KES,60DS,Active,23542,Kim-Fay Professional,,Nairobi East,,KPBASE,KP Base price,,5D,JKIA,"50,000.00",P505,Shirleen Chebet,Z005,Mombasa Road,P.o Box 21483-00505,Airport Trade Centre,,Back Order Allowed,,Open Item,,P051213170S,MONTHLY,
False,CUST100052,Al Jazeera Kiswahili Limited,KPSERVICE,KE,,KES,30D,Active,25219,Kim-Fay Professional,,Nairobi West,,KPBASE,KP Base price,,3O,Upper Hill,2.00,P504,Diana Wendy,Z003,Ngong,P. O. BOX 47149 - 00100,10Th Floor Renaissance Corporate Park,,Back Order Allowed,bessy.muthuri@aljazeera.net,Open Item,,P051382089J,MONTHLY,
False,CUST100053,Alaska Village Ltd,KPHOTEL,KE,,KES,30D,Active,25106,Kim-Fay Professional,,Nairobi Central,,KPBASE,KP Base price,,2A,CBD,1.00,P505,Shirleen Chebet,Z002,CBD,3734-00100,Commercial Street,,Back Order Allowed,alaskavillagelimited@gmail.com,Open Item,,P051677533P,MONTHLY,
False,CUST100054,Alesha Brands Limited,KPDIST,KE,,KES,30D,Inactive,24768,Kim-Fay Professional,,Nairobi East,,KPBASE,KP Base price,,4C,Thika Road,1.00,,,Z004,Thika,P.O.BOX 105214-00101,"Plot 365, Sportsview Kasarani",,Back Order Allowed,,Open Item,,P051439999H,MONTHLY,
False,CUST100056,All Africa Conference Of Churches,KPRELGS,KE,,KES,30DS,Active,3674,Kim-Fay Professional,,Nairobi West,,ALLAFRICAC,All Africa Conference,,1B,Waiyaki Way,0.00,P104,Irene Luketelo,Z001,Westlands,P O Box 14205 00800,Waiyaki Way Desmond Tutu C.C,,Back Order Allowed,raphael@aacc-ceta.org,Open Item,,P051092435S,MONTHLY,
False,CUST100057,All And Sundry Services,KPCCLNRS,KE,,KES,30DS,Active,24631,Kim-Fay Professional,,Nairobi East,,ALLANDSUND,All and sun dry services,,4C,Thika Road,"6,400,000.00",P104,Irene Luketelo,Z012,Coast,Mombasa,"MOMBASA,KRA",,Back Order Allowed,allandsundryservices@gmail.com,Open Item,,,MONTHLY,
False,CUST100058,All Saints Cathedral Church.,KPRELGS,KE,,KES,30DS,Active,3577,Kim-Fay Professional,,Nairobi Central,,ALLSAINTSC,All Saints Cathedral Church,,2A,CBD,"1,000,000.00",C967,Berna Piwang,Z002,CBD,"P.O.Box 40539-00100,",Valley Road After Uhuru Park,,Back Order Allowed,wthiongo@allsaintsnairobi.org,Open Item,,P051092319Z,MONTHLY,
False,CUST100059,Allterrain Services Kenya Ltd,KPCCLNRS,KE,,KES,30DS,Active,24812,Kim-Fay Professional,,Nairobi West,,ALLTERRAIN,Allterrain Services Kenya ltd,,4G,Ruiru,"4,500,000.00",P104,Irene Luketelo,Z004,Thika,Crawford School,Upperhill Road,,Back Order Allowed,akungu@tsebo.com; bogaga@tsebo.com,Open Item,,,MONTHLY,
False,CUST100060,Almanara Diani Beach Resort (Alankoi Seas Ltd),KPHOTEL,KE,,KES,30DS,Active,24114,Kim-Fay Professional,,Coast,,ALMANARADI,Almanara Diani Beach Resort,,12B,Diani,"200,000.00",P022,Lucy Rimberia,Z012,Coast,P.O. Box 5468 - 80401,Diani Beach,,Back Order Allowed,accounts@almanararesort.com,Open Item,,P051160295W,MONTHLY,
False,CUST100061,Althaus Services Ltd,KPPMGR,KE,,KES,30DS,Active,3682,Kim-Fay Professional,,Nairobi West,,ALTHAUSSER,Althaus Services Ltd 3682,,1D,Westlands,"2,000,000.00",P104,Irene Luketelo,Z001,Westlands,P O Box 25552 00603,West Gate Mall,,Back Order Allowed,stephen@althaus.co.ke; mike.kimathi@althaus.co.ke; margaret@althaus.co.ke,Open Item,,P051400968D,MONTHLY,
False,CUST100062,Alujo Enterprises Company Limited,KPDIST,KE,,KES,30D,Active,24951,Kim-Fay Professional,,Coast,,KPBASE,KP Base price,,12A,Mombasa,1.00,P505,Shirleen Chebet,Z012,Coast,P.O.BOX 3005 -80100,Moi Avenue Karimi House Mombasa,,Back Order Allowed,info@alujoenterprises.co.ke,Open Item,,P051383515T,MONTHLY,
False,CUST100063,Amadeus Gtd Ltd,KPSERVICE,KE,,KES,30DS,Active,3830,Kim-Fay Professional,,Nairobi West,,KPBASE,KP Base price,,3O,Upper Hill,"60,000.00",C967,Berna Piwang,Z003,Ngong,,14 Riverside Drive,,Back Order Allowed,peris.mureithi@amadeus.com,Open Item,,P051152211A,MONTHLY,
False,CUST100065,Double Tree By Hilton Nairobi Hurlinghum,KPHOTEL,KE,,KES,30DS,Active,24413,Kim-Fay Professional,,Nairobi West,,AMBERHOTEL,Amber Hotel T/A Amber properti,,3C,Ngong Road,"100,000.00",C967,Berna Piwang,Z003,Ngong,P.O. Box 69702-00400,Ngong Lane,,Back Order Allowed,cashier@doubletreenairobi.co.ke,Open Item,,P051220113Z,MONTHLY,
False,CUST100066,Amex Auto And Industrial Hardware Ltd,KPSERVICE,KE,,KES,30DS,Active,24901,Kim-Fay Professional,,Nairobi East,,AMEXAUTOIN,Amex Auto & industiral Hardwar,,5A,Industrial Area,1.00,P505,Shirleen Chebet,Z005,Mombasa Road,P. O. Box 17880 - 00500,Ideal Corner Building,,Back Order Allowed,accounts@amexautospares.com,Open Item,,P051189348K,MONTHLY,
False,CUST100067,AMREF Health Africa,KPHEALTH,KE,,KES,30DS,Active,2364,Kim-Fay Professional,,Nairobi West,,AMREF,A.M.R.E.F,,3R,Langata Road,0.00,P104,Irene Luketelo,Z003,Ngong,Langata Rd,,,Back Order Allowed,samuel.amwata@amref.org,Open Item,,P051092247U,MONTHLY,
False,CUST100068,AMS  Hotels (Westlands) Ltd T/A Park Inn By Radisson,KPHOTEL,KE,,KES,45DS,Active,24568,Kim-Fay Professional,,Nairobi West,,AMSHOTELSW,AMS hotels westlands,,1D,Westlands,"600,000.00",P096,Doreen Mugwika,Z001,Westlands,AMS Hotels (Westlands) Ltd,Waiyaki Way,,Back Order Allowed,zakaria.owino@parkinn.com,Open Item,,P051310461Q,MONTHLY,
False,CUST100069,Amtoll Rwanda,KPEXP,RW,,USD,30D,Active,25098,Kim-Fay Professional,,Rwanda,,AMTOLLRWAN,25097 (Amtoll Rwanda / FCC,,14F,Rwanda,1.00,P201,Florence Karaya,Z014,Exports,,Kn8 Avenue,,Back Order Allowed,jacky.amtoll.rw@gmail.com,Open Item,,,MONTHLY,
False,CUST100071,And Beyond Kenya Limited,KPHOTEL,KE,,KES,60DS,Active,3592,Kim-Fay Professional,,Nairobi West,,CCAFRICA,C.C Africa,,1D,Westlands,"900,000.00",P104,Irene Luketelo,Z001,Westlands,"P.O Box 74957-00200,",Parklands Road Next To Southern Sun Hotel,,Back Order Allowed,triza.njeri@andBeyond.com,Open Item,,P000601308B,MONTHLY,
False,CUST100072,Andela Kenya Ltd,KPEDU,KE,,KES,30DS,Active,24361,Kim-Fay Professional,,Nairobi East,,KPBASE,KP Base price,,4C,Thika Road,"500,000.00",P505,Shirleen Chebet,Z004,Thika,44437 - 00100,"Road Entering Usiu, From Safari Park",,Back Order Allowed,hellen.kaberere@andela.com,Open Item,,P051554579T,MONTHLY,
False,CUST100073,Androse Enterprises Ltd,KPPMGR,KE,,KES,30D,Active,24330,Kim-Fay Professional,,Nairobi Central,,KPBASE,KP Base price,,2A,CBD,"100,000.00",C967,Berna Piwang,Z002,CBD,P.O. Box 40169-00100,Jabavu House 3Rd Floorjabavu Lane,,Back Order Allowed,androsenterprisesltd@gmail.com,Open Item,,P051348115X,MONTHLY,
False,CUST100075,Anghiti Restaurant Ltd,KPHOTEL,KE,,KES,30DS,On Hold,23497,Kim-Fay Professional,,Nairobi West,,KPBASE,KP Base price,,1D,Westlands,"200,000.00",YVON,Yvonne Achieng,Z001,Westlands,P O Box 66205 00800,New Rehema Hse,,Back Order Allowed,accounts@anghitirestaurant.com,Open Item,,P051119212N,MONTHLY,
False,CUST100076,Anjarwalla & Khanna,KPSERVICE,KE,,KES,30DS,Active,23178,Kim-Fay Professional,,Nairobi West,,KPBASE,KP Base price,,1D,Westlands,"50,000.00",P505,Shirleen Chebet,Z001,Westlands,P O Box 200 00600,"Aln House, Eldama Ravine Close",,Back Order Allowed,wbw@africalegalnetwork.com,Open Item,,,MONTHLY,
False,CUST100077,Ankole Grill Limited,KPREST,KE,,KES,30D,Active,25268,Kim-Fay Professional,,Nairobi West,,ANKOLEGRIL,Ankole Grill Ltd,,3C,Ngong Road,2.00,C967,Berna Piwang,Z003,Ngong,"Ankole Grill HQ - Kitisuru branch, Kitisuru rd.",Kitisuru Road,,Back Order Allowed,accounts@ankole.co.ke,Open Item,,P051621524S,MONTHLY,
False,CUST100078,Aqua Plumbing Company Ltd,KPINDUSTRY,KE,,KES,30D,Active,25283,Kim-Fay Professional,,Nairobi West,,KPBASE,KP Base price,,3D,Community,1.00,P096,Doreen Mugwika,Z003,Ngong,46388-00100,Valley View Office,,Back Order Allowed,aqua@aqua.co.ke,Open Item,,P000593976J,MONTHLY,
False,CUST100079,Aquadrom Restaurant,KPREST,KE,,KES,30DS,Active,2527,Kim-Fay Professional,,Coast,,KPBASE,KP Base price,,12A,Mombasa,"100,000.00",P022,Lucy Rimberia,Z012,Coast,MOMBASA,"Bamburi, Mombasa",,Back Order Allowed,aquadromlimited@gmail.com,Open Item,,P000621253J,MONTHLY,
False,CUST100080,Arial Investment Ltd,KPSERVICE,KE,,KES,30D,Active,25130,Kim-Fay Professional,,Nairobi West,,KPBASE,KP Base price,,4E,Kiambu,1.00,P096,Doreen Mugwika,Z004,Thika,9825-00100,"Windy Ridge300, Windy Ridge Road Off Kiambu rd",,Back Order Allowed,reloe92@gmail.com,Open Item,,P051224708T,MONTHLY,
False,CUST100081,Arichem Ltd,KPINDUSTRY,KE,,KES,30D,Active,25197,Kim-Fay Professional,,Nairobi East,,KPBASE,KP Base price,,5C,Embakasi,1.00,C1262,Mercyline Kemunto,Z005,Mombasa Road,,"Embakasi Old North Airport Road, Nairobi",,Back Order Allowed,fkirimi@arichem.co.ke,Open Item,, P051123885C,MONTHLY,
False,CUST100082,Arora Properties Ltd C/O Knight Frank Kenya Ltd,KPPMGR,KE,,KES,60DS,Active,25199,Kim-Fay Professional,,Nairobi West,,KNIGHTFRAN,Knight Frank Services Ltd 3682,,1D,Westlands,"450,000.00",P104,Irene Luketelo,Z001,Westlands,99438-80107,9 West Westlands,,Back Order Allowed,sophie.muoni@ke.knightfrank.com,Open Item,,P051179623D,MONTHLY,
