Customer ID,Customer Name,Channel,Rep,RepCode,Region,Email
CUST101264,Naivasha Self Service Store-Ciata Mall Kiambu Road,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST101329,Quick Mart Ltd - Kiambu,Modern Trade T1,Georgina Kiilu,P013,Nairobi Key Accounts,georgina.kac@kimfay.com
CUST101149,Chandarana Ridgeways,Modern Trade T2,Kevin Werunga,P230,Nairobi Key Accounts,kelvin.werunga@kimfay.com
CUST101229,Majid Al Futtaim Hypermarkets Ltd- Thika Road Mall,Modern Trade T1,Jane Kuria,P076,Nairobi Key Accounts,jane.kac@kimfay.com
CUST101266,Naivasha Self Service Stores - Githurai,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST101201,Kassmatt Supermarket - Githurai 45,Modern Trade T2,Dennis Mutwiri,P293,Nairobi West,dennis.kac@kimfay.com
CUST101202,Kassmatt Supermarket - Jumbo,Modern Trade T2,Dennis Mutwiri,P293,Nairobi West,dennis.kac@kimfay.com
CUST101327,Quick Mart Ltd - Kahawa,Modern Trade T1,Georgina Kiilu,P013,Nairobi Key Accounts,georgina.kac@kimfay.com
CUST102439,Naivasha Self Service Store - Kahawa Sukari,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST101157,Cleanshelf Supermarket - Kahawa Wendani,Modern Trade T2,Zipporah Wangeci,P443,Nairobi West,moderntrade.nrb@kimfay.com
CUST101207,Maguna's Super stores (K) Ltd - Kahawa,Modern Trade T2,Dennis Mutwiri,P293,Nairobi West,dennis.kac@kimfay.com
CUST101259,Naivasha Self Service Store - Spur Mall,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST101932,Naivasha Self Service Store -  Juja City,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST101255,Naivasha Self Service Store - Nakuru Westside,Modern Trade T1,Lawrence Amukhono,P272,South Rift,moderntrade.exec@kimfay.com
CUST101285,Naivasha Self Services Store - Nakuru Down Town,Modern Trade T1,Lawrence Amukhono,P272,South Rift,moderntrade.exec@kimfay.com
CUST101333,Quick Mart Ltd - Nakuru,Modern Trade T1,Lawrence Amukhono,P272,South Rift,moderntrade.exec@kimfay.com
CUST101518,Cleanshelf Supermarket-Nakuru,Modern Trade T2,Lawrence Amukhono,P272,South Rift,moderntrade.exec@kimfay.com
CUST101294,Naivasha Self Services Store - Sokoni,Modern Trade T1,Lawrence Amukhono,P272,North Rift,moderntrade.exec@kimfay.com
CUST101300,Naivasha Self Services Store-Kapsabet,Modern Trade T1,Lawrence Amukhono,P272,North Rift,moderntrade.exec@kimfay.com
CUST102543,Khetia Drapers Ltd - Eldoret CBD,Modern Trade T2,Lawrence Amukhono,P272,North Rift,moderntrade.exec@kimfay.com
CUST102542,Khetia Drapers Ltd - Highlands,Modern Trade T2,Lawrence Amukhono,P272,North Rift,moderntrade.exec@kimfay.com
CUST101286,Naivasha Self Services Store - Nakuru Supercentre,Modern Trade T1,Lawrence Amukhono,P272,South Rift,moderntrade.exec@kimfay.com
CUST101545,Naivasha Self Service Store -Midtown - Nakuru,Modern Trade T1,Lawrence Amukhono,P272,South Rift,moderntrade.exec@kimfay.com
CUST101181,DEFWES KMA Nakuru,Modern Trade T2,Lawrence Amukhono,P272,South Rift,moderntrade.exec@kimfay.com
CUST101183,DEFWES Lanet 3KR,Modern Trade T2,Lawrence Amukhono,P272,South Rift,moderntrade.exec@kimfay.com
CUST101282,Naivasha Self Services Store - Kubwa,Modern Trade T1,Lawrence Amukhono,P272,South Rift,moderntrade.exec@kimfay.com
CUST101288,Naivasha Self Services Store - Ndogo,Modern Trade T1,Lawrence Amukhono,P272,South Rift,moderntrade.exec@kimfay.com
CUST102333,Naivasha Self Service Store -  SAFARI CENTRE,Modern Trade T1,Lawrence Amukhono,P272,South Rift,moderntrade.exec@kimfay.com
CUST102251,Chandarana Buffalo Mall,Modern Trade T2,Lawrence Amukhono,P272,South Rift,moderntrade.exec@kimfay.com
CUST102549,Khetia Drapers Ltd - Naivasha,Modern Trade T2,Lawrence Amukhono,P272,South Rift,moderntrade.exec@kimfay.com
CUST102947,Powerstar Supermarket Vasha Limited,Modern Trade T2,Lawrence Amukhono,P272,South Rift,moderntrade.exec@kimfay.com
CUST102991,Maguna's Super Stores (K) Ltd-  Delamere.,Modern Trade T2,Lawrence Amukhono,P272,South Rift,moderntrade.exec@kimfay.com
CUST101835,Quick Mart - Kitale,Modern Trade T1,Lawrence Amukhono,P272,North Rift,moderntrade.exec@kimfay.com
CUST102536,Khetia Drapers Ltd - Gigamart,Modern Trade T2,Lawrence Amukhono,P272,North Rift,moderntrade.exec@kimfay.com
CUST102537,Khetia Drapers Ltd - Plus,Modern Trade T2,Lawrence Amukhono,P272,North Rift,moderntrade.exec@kimfay.com
CUST101498,Quick Mart - Eldoret,Modern Trade T1,Lawrence Amukhono,P272,North Rift,moderntrade.exec@kimfay.com
CUST101808,Naivasha Self Service Store - Zion Mall,Modern Trade T1,Lawrence Amukhono,P272,North Rift,moderntrade.exec@kimfay.com
CUST102396,Naivasha Self Service Stores Limited - Elgon View,Modern Trade T1,Lawrence Amukhono,P272,North Rift,moderntrade.exec@kimfay.com
CUST101270,Naivasha Self Services Store - Eldoret,Modern Trade T1,Lawrence Amukhono,P272,North Rift,moderntrade.exec@kimfay.com
CUST101141,Chandarana Eldoret Branch,Modern Trade T2,Lawrence Amukhono,P272,North Rift,moderntrade.exec@kimfay.com
CUST101172,DEFWES Eldoret Barracks,Modern Trade T2,Lawrence Amukhono,P272,North Rift,moderntrade.exec@kimfay.com
CUST102596,Khetia Drapers Ltd - Checkpoint,Modern Trade T2,Lawrence Amukhono,P272,North Rift,moderntrade.exec@kimfay.com
CUST101287,Naivasha Self Services Store - Narok,Modern Trade T1,Lawrence Amukhono,P272,South Rift,moderntrade.exec@kimfay.com
CUST102783,Quick Mart Narok,Modern Trade T1,Lawrence Amukhono,P272,South Rift,moderntrade.exec@kimfay.com
CUST101162,Cleanshelf Supermarket - Nyahururu,Modern Trade T2,Lawrence Amukhono,P272,South Rift,moderntrade.exec@kimfay.com
CUST101175,DEFWES Gilgil Kenyatta Garrison,Modern Trade T2,Lawrence Amukhono,P272,South Rift,moderntrade.exec@kimfay.com
CUST101176,DEFWES Gilgill 5KR,Modern Trade T2,Lawrence Amukhono,P272,South Rift,moderntrade.exec@kimfay.com
CUST101238,Naivasha Self Service Store - Bungoma,Modern Trade T1,Lawrence Amukhono,P272,North Rift,moderntrade.exec@kimfay.com
CUST102538,Khetia Drapers Ltd - Cross Roads,Modern Trade T2,Lawrence Amukhono,P272,North Rift,moderntrade.exec@kimfay.com
CUST102540,Khetia Drapers Ltd - Euro,Modern Trade T2,Lawrence Amukhono,P272,North Rift,moderntrade.exec@kimfay.com
CUST102539,Khetia Drapers Ltd - Highway,Modern Trade T2,Lawrence Amukhono,P272,North Rift,moderntrade.exec@kimfay.com
CUST102815,Khetia Drapers Ltd - Kanduyi,Modern Trade T2,Lawrence Amukhono,P272,North Rift,moderntrade.exec@kimfay.com
CUST102651,Khetia Drapers Ltd - Webuye,Modern Trade T2,Lawrence Amukhono,P272,North Rift,moderntrade.exec@kimfay.com
CUST101445,Majid Al Futtaim Hypermarkets Ltd - Westgate,Modern Trade T1,Jane Kuria,P076,Nairobi Key Accounts,jane.kac@kimfay.com
CUST102455,Naivasha Self Service Store - Ojijo Road,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST103032,Majid Al Futtaim Hypermarkets Ltd - Spring Valley,Modern Trade T1,Jane Kuria,P076,Nairobi Key Accounts,jane.kac@kimfay.com
CUST101225,Majid Al Futtaim Hypermarkets Ltd - Two Rivers,Modern Trade T1,Jane Kuria,P076,Nairobi Key Accounts,jane.kac@kimfay.com
CUST102329,Chandarana Thigiri,Modern Trade T2,Kevin Werunga,P230,Nairobi East,kelvin.werunga@kimfay.com
CUST102243,Onn The Way Ltd-Gigri Branch,Modern Trade T2,Kevin Werunga,P230,Nairobi East,kelvin.werunga@kimfay.com
CUST101244,Naivasha Self Service Store - Kangemi Branch,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST101263,Naivasha Self Service Store- Mountain View,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST101337,Quick Mart Ltd - Waiyaki Way,Modern Trade T1,Georgina Kiilu,P013,Nairobi Key Accounts,georgina.kac@kimfay.com
CUST102514,Naivasha Self Service Store - Uthiru Express,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST102733,Maguna's Super stores (K) Ltd - Kangemi,Modern Trade T2,Dennis Mutwiri,P293,Nairobi West,dennis.kac@kimfay.com
CUST101251,Naivasha Self Service Store - Limuru,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST103006,Naivasha Self Service Store - Rironi,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Central,lucy.kac@kimfay.com
CUST101161,Cleanshelf Supermarket - Limuru,Modern Trade T2,Dennis Mutwiri,P293,Nairobi West,dennis.kac@kimfay.com
CUST102550,Khetia Drapers Ltd - Limuru,Modern Trade T2,Dennis Mutwiri,P293,Nairobi West,dennis.kac@kimfay.com
CUST102755,Maguna's Super stores (K) Ltd - Kitisuru,Modern Trade T2,Dennis Mutwiri,P293,Nairobi West,dennis.kac@kimfay.com
CUST101133,Chandarana  Diamond Plaza,Modern Trade T2,Kevin Werunga,P230,Nairobi Key Accounts,kelvin.werunga@kimfay.com
CUST101134,Chandarana  Ngara,Modern Trade T2,Kevin Werunga,P230,Nairobi Key Accounts,kelvin.werunga@kimfay.com
CUST101142,Chandarana Highridge,Modern Trade T2,Kevin Werunga,P230,Nairobi Key Accounts,kelvin.werunga@kimfay.com
CUST100710,Onn The Way Ltd,Modern Trade T2,Kevin Werunga,P230,Nairobi West,kelvin.werunga@kimfay.com
CUST102653,Naivasha Self Service Store - Express Baraka Westlands,Modern Trade T1,Lucy Wanjiru,P321,Nairobi West,lucy.kac@kimfay.com
CUST101137,Chandarana ABC,Modern Trade T2,Kevin Werunga,P230,Nairobi Key Accounts,kelvin.werunga@kimfay.com
CUST102454,Chandarana Azalea Square,Modern Trade T2,Kevin Werunga,P230,Nairobi Key Accounts,kelvin.werunga@kimfay.com
CUST102281,Chandarana Rhapta Road,Modern Trade T2,Kevin Werunga,P230,Nairobi Key Accounts,kelvin.werunga@kimfay.com
CUST102299,Chandarana Supermarket - Riverside,Modern Trade T2,Kevin Werunga,P230,Nairobi Key Accounts,kelvin.werunga@kimfay.com
CUST101226,Majid Al Futtaim Hypermarkets Ltd - Village Market,Modern Trade T1,Jane Kuria,P076,Nairobi Key Accounts,jane.kac@kimfay.com
CUST101159,Cleanshelf Supermarket - Kikuyu,Modern Trade T2,Dennis Mutwiri,P293,Nairobi West,dennis.kac@kimfay.com
CUST100511,Kikuyu Selfridges (S/Markets) Ltd,Modern Trade T2,Dennis Mutwiri,P293,Nairobi West,dennis.kac@kimfay.com
CUST102574,Leestar Supermarket Kinoo Limited,Modern Trade T2,Dennis Mutwiri,P293,Nairobi East,dennis.kac@kimfay.com
CUST101311,Powerstar Supermarket - Kikuyu,Modern Trade T2,Dennis Mutwiri,P293,Nairobi West,dennis.kac@kimfay.com
CUST102489,Powerstar Supermarket Kinoo Limited,Modern Trade T2,Dennis Mutwiri,P293,Nairobi West,dennis.kac@kimfay.com
CUST101228,Majid Al Futtaim Hypermarkets Ltd- Sarit Centre,Modern Trade T1,Jane Kuria,P076,Nairobi Key Accounts,jane.kac@kimfay.com
CUST101297,Naivasha Self Services Store - Westlands,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST102272,Quick Mart Ltd - Westlands Branch,Modern Trade T1,Georgina Kiilu,P013,Nairobi West,georgina.kac@kimfay.com
CUST102747,Naivasha Self Service Store - Mwanzi Road,Modern Trade T1,Lucy Wanjiru,P321,Nairobi West,lucy.kac@kimfay.com
CUST102840,Majid Al Futtaim Hypermarkets Ltd - GTC,Modern Trade T1,Jane Kuria,P076,Nairobi Key Accounts,jane.kac@kimfay.com
CUST101336,Quick Mart Ltd - Ruaka,Modern Trade T1,Georgina Kiilu,P013,Nairobi Key Accounts,georgina.kac@kimfay.com
CUST101150,Chandarana Rosslyn,Modern Trade T2,Kevin Werunga,P230,Nairobi Key Accounts,kelvin.werunga@kimfay.com
CUST101164,Cleanshelf Supermarket - Ruaka,Modern Trade T2,Zipporah Wangeci,P443,Nairobi West,moderntrade.nrb@kimfay.com
CUST102864,Maguna's Super stores (K) Ltd - Ndenderu,Modern Trade T2,Dennis Mutwiri,P293,Nairobi West,dennis.kac@kimfay.com
CUST101271,Naivasha Self Services Store - Embu,Modern Trade T1,Lilian Kimeu,P149,Upper Mountain,lilian.kimeu@kimfay.com
CUST101272,"Naivasha Self Services Store - Embu, Pearl Centre",Modern Trade T1,Lilian Kimeu,P149,Upper Mountain,lilian.kimeu@kimfay.com
CUST101210,Maguna's Superstore (K) Ltd - EMBU,Modern Trade T2,Lilian Kimeu,P149,Upper Mountain,lilian.kimeu@kimfay.com
CUST101413,Maguna's Superstore (K) Ltd - Embu Dallas,Modern Trade T2,Lilian Kimeu,P149,Upper Mountain,lilian.kimeu@kimfay.com
CUST102410,Maguna's Super Stores (K) -Kenol Branch,Modern Trade T2,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST102922,Maguna's Super stores (K) Ltd - Kakuzi,Modern Trade T2,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST103051,Maguna's Super stores (K) Ltd - Maragua,Modern Trade T2,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST101213,Maguna's Superstore (K) Ltd - Murang'a(Mukuyu),Modern Trade T2,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST101214,Maguna's Superstore (K) Ltd - TEKETEKE,Modern Trade T2,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST101309,Powerstar Supermarket - Kangari,Modern Trade T2,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST101158,Cleanshelf Supermarket - Kerugoya,Modern Trade T2,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST101208,Maguna's Super stores (K) Ltd - Ushirika,Modern Trade T2,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST101217,Maguna's Superstores (K) Ltd - Kerugoya,Modern Trade T2,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST101219,Maguna's Superstores (K) Ltd - Sagana,Modern Trade T2,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST101280,Naivasha Self Services Store - Kitui,Modern Trade T1,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST102308,Quick Mart Ltd - Kitui,Modern Trade T1,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST100114,Bidii Supermarket - Matuu,Modern Trade T2,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST101215,Maguna's Superstore -Kitui,Modern Trade T2,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST101317,Quick Mart - Nanyuki,Modern Trade T1,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST101147,Chandarana Nanyuki,Modern Trade T2,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST101167,DEFWES Brigade Nanyuki,Modern Trade T2,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST101177,DEFWES Isiolo Soce mini shop,Modern Trade T2,Lilian Kimeu,P149,Upper Mountain,lilian.kimeu@kimfay.com
CUST101182,DEFWES Laikipia Airbase,Modern Trade T2,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST101191,DEFWES Nanyuki,Modern Trade T2,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST103133,Onn The Way Ltd -1st Avenue,Modern Trade T2,Kevin Werunga,P230,Nairobi Central,kelvin.werunga@kimfay.com
CUST101195,DEFWES Tank Batallion,Modern Trade T2,Lilian Kimeu,P149,Upper Mountain,lilian.kimeu@kimfay.com
CUST102555,Khetia Drapers Ltd - Chuka,Modern Trade T2,Lilian Kimeu,P149,Upper Mountain,lilian.kimeu@kimfay.com
CUST101212,Maguna's Superstore (K) Ltd - Meru,Modern Trade T2,Lilian Kimeu,P149,Upper Mountain,lilian.kimeu@kimfay.com
CUST101220,Maguna's Supestore's (K) LTD - CHUKA,Modern Trade T2,Lilian Kimeu,P149,Upper Mountain,lilian.kimeu@kimfay.com
CUST102420,Naivasha Self Service Store - Meru,Modern Trade T1,Lilian Kimeu,P149,Upper Mountain,lilian.kimeu@kimfay.com
CUST102553,Khetia Drapers Ltd - Maua,Modern Trade T2,Lilian Kimeu,P149,Upper Mountain,lilian.kimeu@kimfay.com
CUST102554,Khetia Drapers Ltd - Meru,Modern Trade T2,Lilian Kimeu,P149,Upper Mountain,lilian.kimeu@kimfay.com
CUST101500,Maguna's Super Stores (K) Ltd - Meru DownTown,Modern Trade T2,Lilian Kimeu,P149,Upper Mountain,lilian.kimeu@kimfay.com
CUST101218,Maguna's Superstores (K) Ltd - MAUA,Modern Trade T2,Lilian Kimeu,P149,Upper Mountain,lilian.kimeu@kimfay.com
CUST101256,Naivasha Self Service Store - Nyeri,Modern Trade T1,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST102556,Khetia Drapers Ltd - Nyeri,Modern Trade T2,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST101211,Maguna's Superstore (K) Ltd - Karatina Disc Dtore,Modern Trade T2,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST101216,Maguna's Superstores (K) Ltd - Karatina,Modern Trade T2,Lilian Kimeu,P149,Lower Mountain,lilian.kimeu@kimfay.com
CUST103007,Naivasha Self Service Store - Mavoko Express,Modern Trade T1,Lucy Wanjiru,P321,Nairobi East,lucy.kac@kimfay.com
CUST101237,Naivasha Self Service Store - Airport  View,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST101260,Naivasha Self Service Store - Syokimau,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST102296,Naivasha Self Service Store - Katani Road,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST101135,Chandarana  Signature Mall,Modern Trade T2,Kevin Werunga,P230,Nairobi Key Accounts,kelvin.werunga@kimfay.com
CUST101279,Naivasha Self Services Store - Kitengela,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST102275,Quick Mart Ltd - Kitengela,Modern Trade T1,Georgina Kiilu,P013,Nairobi Key Accounts,georgina.kac@kimfay.com
CUST100259,Eastleigh Mattresses Limited,Modern Trade T2,Dennis Mutwiri,P293,Nairobi East,dennis.kac@kimfay.com
CUST101312,Powerstar Supermarket - Kitengela,Modern Trade T2,Kevin Werunga,P230,Nairobi West,kelvin.werunga@kimfay.com
CUST102295,Quick Mart Ltd - Mlolongo Highway,Modern Trade T1,Georgina Kiilu,P013,Nairobi Key Accounts,georgina.kac@kimfay.com
CUST102481,Chandarana Crystal Rivers mall,Modern Trade T2,Kevin Werunga,P230,Nairobi Key Accounts,kelvin.werunga@kimfay.com
CUST102493,Cleanshelf Supermarket - Green Park,Modern Trade T2,Kevin Werunga,P230,Nairobi East,kelvin.werunga@kimfay.com
CUST102437,DEFWES Athi River,Modern Trade T2,Zipporah Wangeci,P443,Lower Mountain,moderntrade.nrb@kimfay.com
CUST102432,99 Mart Limited,Modern Trade T2,Kevin Werunga,P230,Nairobi West,kelvin.werunga@kimfay.com
CUST101258,Naivasha Self Service Store - South C,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST101426,Majid Al Futtaim Limited - Nextgen,Modern Trade T1,Jane Kuria,P076,Nairobi Key Accounts,jane.kac@kimfay.com
CUST101451,Quick Mart Ltd - Mombasa Road,Modern Trade T1,Georgina Kiilu,P013,Nairobi Key Accounts,georgina.kac@kimfay.com
CUST101283,Naivasha Self Services Store - Machakos,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Eastern,lucy.kac@kimfay.com
CUST101299,Naivasha Self Services Store -Machakos SuperCentre,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Eastern,lucy.kac@kimfay.com
CUST102289,Quick Mart Ltd - Machakos Express,Modern Trade T1,Georgina Kiilu,P013,Nairobi Eastern,georgina.kac@kimfay.com
CUST102292,Quick Mart Ltd - Pioneer Machakos,Modern Trade T1,Georgina Kiilu,P013,Nairobi Eastern,georgina.kac@kimfay.com
CUST101240,Naivasha Self Service Store - Capital Centre,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
CUST101274,Naivasha Self Services Store - Hazina,Modern Trade T1,Lucy Wanjiru,P321,Nairobi Key Accounts,lucy.kac@kimfay.com
